Values,Timestamp
0.693791,2000
1.37144,2001
2.37325,2002
3.35337,2003
11.6079,2004
15.0844,2005
19.7712,2006
21.5,2007
33.1,2008
41.3,2009
52.0,2010
46.1075,2011
55.4161,2012
56.0,2013
56.7746,2014
57.08,2015
58.2712,2016
61.7622,2017
64.8039,2018
84.1204,2019
84.1204,2020
88.1303,2021
89.9,2022
